24.08 17:15:49,Added worktime to DB,"FSMContextProxy state = 'Addtime:confirm', data = {'start': datetime.datetime(2023, 8, 24, 7, 0), 'end': datetime.datetime(2023, 8, 24, 18, 0), 'ttl': {'time': datetime.timedelta(seconds=39600), 'dinner': datetime.timedelta(seconds=3600), 'total': datetime.timedelta(seconds=36000), 'totalfloat': 10.0, 'c': 1}}, closed = True"
24.08 17:15:58,Calculated worktime,"FSMContextProxy state = 'Addtime:day_status', data = {'start': datetime.datetime(2023, 8, 24, 7, 0), 'end': datetime.datetime(2023, 8, 24, 18, 0), 'ttl': {'time': datetime.timedelta(seconds=39600), 'dinner': datetime.timedelta(seconds=3600), 'total': datetime.timedelta(seconds=72000), 'totalfloat': 20.0, 'c': 2}}"
24.08 17:16:04,Calculated worktime,"FSMContextProxy state = 'Addtime:change_date', data = {'start': datetime.datetime(2023, 7, 23, 7, 0), 'end': datetime.datetime(2023, 7, 23, 18, 0), 'ttl': {'time': datetime.timedelta(seconds=39600), 'dinner': datetime.timedelta(seconds=3600), 'total': datetime.timedelta(seconds=72000), 'totalfloat': 20.0, 'c': 2}}"
24.08 17:16:06,Added worktime to DB,"FSMContextProxy state = 'Addtime:confirm', data = {'start': datetime.datetime(2023, 7, 23, 7, 0), 'end': datetime.datetime(2023, 7, 23, 18, 0), 'ttl': {'time': datetime.timedelta(seconds=39600), 'dinner': datetime.timedelta(seconds=3600), 'total': datetime.timedelta(seconds=72000), 'totalfloat': 20.0, 'c': 2}}, closed = True"
24.08 17:16:15,Calculate fuel,"{'odo': 100, 'fuel': 46.8, 'auto': 'Газель', 'consumption': 13.2, 'tank': 80, 'fuel_delta': 13.2}"
24.08 17:16:17,Added fuel to DB,"{'odo': 100, 'fuel': 46.8, 'auto': 'Газель', 'consumption': 13.2, 'tank': 80, 'fuel_delta': 13.2}"
24.08 17:16:27,Report WorkTime,8
24.08 17:16:29,Report WorkTime,7
24.08 17:16:38,Report WorkTime,7
24.08 17:16:48,Report WorkTime,8
24.08 17:16:58,Report WorkTime,8
24.08 17:17:26,Report Fuel,8
24.08 16:12:17,Calculated worktime,"FSMContextProxy state = 'Addtime:day_status', data = {'city': 1, 'base': 1, 'mode': 1, 'wdays': {'work': 23, 'not_work': 8, 'hours': 184}, 'start': datetime.datetime(2023, 8, 24, 7, 0), 'end': datetime.datetime(2023, 8, 24, 18, 0), 'ttl': {'time': datetime.timedelta(seconds=39600), 'dinner': datetime.timedelta(seconds=3600), 'total': datetime.timedelta(seconds=36000), 'totalfloat': 10.0, 'c': 1}}"
24.08 16:12:18,Added worktime to DB,"FSMContextProxy state = 'Addtime:confirm', data = {'city': 1, 'base': 1, 'mode': 1, 'wdays': {'work': 23, 'not_work': 8, 'hours': 184}, 'start': datetime.datetime(2023, 8, 24, 7, 0), 'end': datetime.datetime(2023, 8, 24, 18, 0), 'ttl': {'time': datetime.timedelta(seconds=39600), 'dinner': datetime.timedelta(seconds=3600), 'total': datetime.timedelta(seconds=36000), 'totalfloat': 10.0, 'c': 1}}, closed = True"
24.08 16:14:28,Calculate fuel,"{'odo': 5, 'fuel': 14.05, 'auto': 'ГАЗон', 'consumption': 19.0, 'tank': 102, 'fuel_delta': 0.9500000000000001}"
24.08 16:14:29,Added fuel to DB,"{'odo': 5, 'fuel': 14.05, 'auto': 'ГАЗон', 'consumption': 19.0, 'tank': 102, 'fuel_delta': 0.9500000000000001}"
24.08 16:21:17,Calculated worktime,"FSMContextProxy state = 'Addtime:day_status', data = {'start': datetime.datetime(2023, 8, 24, 15, 0), 'end': datetime.datetime(2023, 8, 24, 20, 0), 'ttl': {'time': datetime.timedelta(seconds=18000), 'dinner': datetime.timedelta(seconds=1800), 'total': datetime.timedelta(seconds=32400), 'totalfloat': 9.0, 'c': 2}}"
24.08 16:21:18,Added worktime to DB,"FSMContextProxy state = 'Addtime:confirm', data = {'start': datetime.datetime(2023, 8, 24, 15, 0), 'end': datetime.datetime(2023, 8, 24, 20, 0), 'ttl': {'time': datetime.timedelta(seconds=18000), 'dinner': datetime.timedelta(seconds=1800), 'total': datetime.timedelta(seconds=32400), 'totalfloat': 9.0, 'c': 2}}, closed = True"
24.08 16:31:09,Calculated worktime,"FSMContextProxy state = 'Addtime:day_status', data = {'city': 1, 'base': 1, 'mode': 1, 'wdays': {'work': 23, 'not_work': 8, 'hours': 184}, 'start': datetime.datetime(2023, 8, 24, 7, 0), 'end': datetime.datetime(2023, 8, 24, 9, 0), 'ttl': {'time': datetime.timedelta(seconds=7200), 'dinner': datetime.timedelta(0), 'total': datetime.timedelta(seconds=7200), 'totalfloat': 2.0, 'c': 1}}"
24.08 16:31:10,Added worktime to DB,"FSMContextProxy state = 'Addtime:confirm', data = {'city': 1, 'base': 1, 'mode': 1, 'wdays': {'work': 23, 'not_work': 8, 'hours': 184}, 'start': datetime.datetime(2023, 8, 24, 7, 0), 'end': datetime.datetime(2023, 8, 24, 9, 0), 'ttl': {'time': datetime.timedelta(seconds=7200), 'dinner': datetime.timedelta(0), 'total': datetime.timedelta(seconds=7200), 'totalfloat': 2.0, 'c': 1}}, closed = True"
24.08 16:46:36,Report WorkTime,8
24.08 16:52:50,Report WorkTime,8
24.08 16:52:53,Report WorkTime,7
